station_id,station_name,station_address,station_position,station_externalid,url
42536,08011 - DUBLIN,1 RUE CLAPEYRON - 75008 PARIS,"(48.8809353567738,2.32451663514648)",8011,http://velibs.github.io/data/png/42536.png
41723,12120 - CONSERVATION,ROUTE DE LA CEINTURE DU LAC DAUMESNIL - 75012 PARIS,"(48.8277252370476,2.41827234236864)",12120,http://velibs.github.io/data/png/41723.png
42448,08056 - WAGRAM,21 RUE BEAUJON - 75008 PARIS,"(48.875377647487,2.29655534247627)",8056,http://velibs.github.io/data/png/42448.png
42574,13033 - PORTE D'ITALIE,15 AVENUE DE LA PORTE D'ITALIE - 75013 PARIS,"(48.817312300432,2.36021848094357)",13033,http://velibs.github.io/data/png/42574.png
42594,16116 - GEORGES SAND,23 rue Georges Sand - 75016 PARIS,"(48.8498691876412,2.2682573875257)",16116,http://velibs.github.io/data/png/42594.png
42572,42202 - RONSARD (CHARENTON),1 RUE  KENNEDY / ALLEE RONSARD - 94220 CHARENTON,"(48.8227360120977,2.40565920320751)",42202,http://velibs.github.io/data/png/42572.png
42601,41103 - BRIAND (ARCUEIL),AVENUE ARISTIDE BRIAND (CARREFOUR VACHE NOIRE) - 94110 ARCUEIL,"(48.8104231700653,2.32696976462064)",41103,http://velibs.github.io/data/png/42601.png
42625,09031 - PROVENCE,69 RUE DE PROVENCE - 75009 PARIS,"(48.8742844754207,2.33297651156431)",9031,http://velibs.github.io/data/png/42625.png
42628,01004 - MARGUERITE DE NAVARRE,12 RUE DES HALLES - 75001 PARIS,"(48.8598963144415,2.34675666754872)",1004,http://velibs.github.io/data/png/42628.png
42631,20034 - SORBIER - MÉNILMONTANT,1 RUE SORBIER - 75020 PARIS,"(48.8685264710698,2.38979540953546)",20034,http://velibs.github.io/data/png/42631.png
42630,04021 - BEAUBOURG RAMBUTEAU,49 RUE RAMBUTEAU - 75004 PARIS,"(48.8614190722232,2.35258144286207)",4021,http://velibs.github.io/data/png/42630.png
42624,14025 - JACQUIER,10 RUE JACQUIER - 75014 PARIS,"(48.8295704047321,2.31835302141387)",14025,http://velibs.github.io/data/png/42624.png
42645,06018 - MICHELET ASSAS,13 RUE MICHELET - 75006 PARIS,"(48.842540966044,2.3350678855655)",6018,http://velibs.github.io/data/png/42645.png
42638,42010 - ROBESPIERRE (IVRY),1 RUE ROBESPIERRE - 94200 IVRY,"(48.8108458645646,2.38395086342048)",42010,http://velibs.github.io/data/png/42638.png
42640,21205 - JAURES 2 (MONTROUGE),AVENUE JEAN JAURES / RUE ROGER SALENGERO - 92120 MONTROUGE,"(48.8138629635867,2.30694360566078)",21205,http://velibs.github.io/data/png/42640.png
42520,03005 - TURBIGO SAINTE ELISABETH,7 RUE SAINTE ELISABETH - 75003 PARIS,"(48.8661372245834,2.35966114362647)",3005,http://velibs.github.io/data/png/42520.png
42551,14030 - LOSSERAND - PERNETY,61 RUE PERNETY - 75014 PARIS,"(48.834254627953,2.31760933938696)",14030,http://velibs.github.io/data/png/42551.png
42583,17032 - ESPACE CHAMPERRET,12 RUE JEAN OESTREICHER - 75017 PARIS,"(48.8865709933524,2.28861234498402)",17032,http://velibs.github.io/data/png/42583.png
42694,22403 - BROSSOLETTE (MALAKOFF),FACE 35 AVENUE PIERRE BROSSOLETTE - 92240 MALAKOFF,"(48.8218356479179,2.31345860825423)",22403,http://velibs.github.io/data/png/42694.png
41690,42207 - PARIS 3 (CHARENTON),136 RUE DE PARIS - 94220 CHARENTON,"(48.8266572063246,2.40587672301108)",42207,http://velibs.github.io/data/png/41690.png
42586,05033 - SAINT SEVERIN,42 RUE SAINT SEVERIN - 75005 PARIS,"(48.8527056477051,2.34413776324567)",5033,http://velibs.github.io/data/png/42586.png
42725,21702 - BASCH (VANVES),6 AVENUE VICTOR BASCH - 92170 VANVES,"(48.8189398642899,2.29195987246791)",21702,http://velibs.github.io/data/png/42725.png
42752,31005 - PARIS 2  (MONTREUIL),127/129 RUE DE PARIS - 93100 MONTREUIL,"(48.8562845161864,2.42643449060982)",31005,http://velibs.github.io/data/png/42752.png
42615,43010 - JARRY (VINCENNES),139 RUE DE LA JARRY - 94300 VINCENNES,"(48.8497449569769,2.45196030630883)",43010,http://velibs.github.io/data/png/42615.png
42775,32604 - KOCK (LES LILAS),FACE 3 AVENUE PAUL DE KOCK - 93260 LES LILAS,"(48.8812154273023,2.42020915533382)",32604,http://velibs.github.io/data/png/42775.png
42796,14018 - PORTE D'ORLEANS,6 PLACE DU 25 AOUT 1944 - 75014 PARIS,"(48.8228575017159,2.32504267091704)",14018,http://velibs.github.io/data/png/42796.png
42829,05030 - SORBONNE,5 RUE DE LA SORBONNE - 75005 PARIS,"(48.8497703706033,2.34357357573301)",5030,http://velibs.github.io/data/png/42829.png
42830,22003 - BEFFROY (NEUILLY),3 RUE BEFFROY - 92200 NEUILLY,"(48.8867049831048,2.26126351803174)",22003,http://velibs.github.io/data/png/42830.png
42844,15022 - ZOLA,143 AVENUE EMILE ZOLA - 75015 PARIS,"(48.8470986841305,2.29623845050552)",15022,http://velibs.github.io/data/png/42844.png
42832,19037 - PORTE DES LILAS,304 RUE DE BELLEVILLE - 75019 PARIS,"(48.8766039189276,2.40476969112948)",19037,http://velibs.github.io/data/png/42832.png
42831,10011 - BOURSE DU TRAVAIL,3 RUE DU CHATEAU D'EAU - 75010 PARIS,"(48.8690917486947,2.36226176181459)",10011,http://velibs.github.io/data/png/42831.png
42838,42704 - ROSSEL (LE KREMLIN BICETRE),RUE ROSSEL / AVENUE DE LA CONVENTION - 94270 LE KREMLIN BICETRE,"(48.812012814287,2.35697189328747)",42704,http://velibs.github.io/data/png/42838.png
42833,21103 - HUGO (CLICHY),94-98 BOULEVARD VICTOR HUGO - 92110 CLICHY,"(48.9014601567539,2.31712992065507)",21103,http://velibs.github.io/data/png/42833.png
42840,13109 - BRILLAT SAVARIN,16 RUE BRILLAT SAVARIN - 75013 PARIS,"(48.8222030963413,2.35042203291393)",13109,http://velibs.github.io/data/png/42840.png
42843,07016 - TOUR MAUBOURG UNIVERSITE,13 RUE SURCOUF - 75007 PARIS,"(48.8612730162781,2.30945355091418)",7016,http://velibs.github.io/data/png/42843.png
42845,09011 - FOLIES BERGERES,14 RUE GEOFFROY MARIE - 75009 PARIS,"(48.8737819405933,2.34451387633789)",9011,http://velibs.github.io/data/png/42845.png
42856,35005 - GENERAL LECLERC (PANTIN),QUAI DE L'AISNE/AVENUE DU GENERAL LECLERC 93500 PANTIN,"(48.8957139498245,2.40057189442727)",35005,http://velibs.github.io/data/png/42856.png
42848,17020 - NICARAGUA,49 RUE JOUFFROY D'ABBANS - 75017 PARIS,"(48.8850699436711,2.3070832166645)",17020,http://velibs.github.io/data/png/42848.png
42885,42206 - PARIS 2 (CHARENTON),111 RUE DE PARIS - 94220 CHARENTON,"(48.8237840896708,2.41001354040084)",42206,http://velibs.github.io/data/png/42885.png
42886,07002 - VANEAU,86 RUE VANEAU - 75007 PARIS,"(48.8485776075611,2.32041739312382)",7002,http://velibs.github.io/data/png/42886.png
42891,35007 - DELESSERT (PANTIN),1 RUE  BENJAMIN DELESSERT - 93500 PANTIN,"(48.8939437131899,2.41802965968678)",35007,http://velibs.github.io/data/png/42891.png
42017,18029 - POTEAU,1 RUE EMILE BLEMONT - 75018 PARIS,"(48.8945309044796,2.34154133909222)",18029,http://velibs.github.io/data/png/42017.png
42894,42016 - CURIE (IVRY),1 BIS RUE PIERRE ET MARIE CURIE - 94200 IVRY,"(48.8158473928145,2.37694379547211)",42016,http://velibs.github.io/data/png/42894.png
42873,07005 - BAC,FACE 2 BOULEVARD RASPAIL - 75007 PARIS,"(48.855461735956,2.32568193588915)",7005,http://velibs.github.io/data/png/42873.png
42896,31701 - BERTON (BAGNOLET),3 RUE RAOUL BERTON - 93170 BAGNOLET,"(48.868453299036,2.41781693473698)",31701,http://velibs.github.io/data/png/42896.png
42897,16039 - VERSAILLES EXELMANS,27 BOULEVARD EXELMANS - 75016 PARIS,"(48.8409629526469,2.26439411807511)",16039,http://velibs.github.io/data/png/42897.png
42888,11112 - CHARONNES VALLES,22 RUE JULES VALLES - 75011 PARIS,"(48.8543041778117,2.38488615344003)",11112,http://velibs.github.io/data/png/42888.png
42908,33010 - HUGO (AUBERVILLIERS),161 AVENUE VICTOR HUGO - 93300 AUBERVILLIERS,"(48.9111048097348,2.3791437423026)",33010,http://velibs.github.io/data/png/42908.png
42914,11003 - ROQUETTE DALLERY,29 RUE KELLER - 75011 PARIS,"(48.8555128613223,2.37524034702615)",11003,http://velibs.github.io/data/png/42914.png
42893,19113 - PRE ST GERVAIS,27 RUE DU PRE SAINT GERVAIS - 75019 PARIS,"(48.8779234119252,2.39598555362417)",19113,http://velibs.github.io/data/png/42893.png
41832,23001 - COUTURIER 1 (LEVALLOIS),2 RUE PAUL VAILLANT COUTURIER - 92300 LEVALLOIS,"(48.8936146524531,2.27761872722319)",23001,http://velibs.github.io/data/png/41832.png
41835,17046 - MAC MAHON,18 AVENUE MARC MAHON - 75017 PARIS,"(48.8775320841302,2.29451253605293)",17046,http://velibs.github.io/data/png/41835.png
41842,16033 - MICHEL ANGE AUTEUIL,85 RUE JEAN DE LA FONTAINE - 75016 PARIS,"(48.8484276136739,2.26525382116)",16033,http://velibs.github.io/data/png/41842.png
41843,16029 - MAISON DE RADIO FRANCE,1 RUE GROS - 75016 PARIS,"(48.8513599125815,2.27769726944862)",16029,http://velibs.github.io/data/png/41843.png
41841,14126 - VAILLANT COUTURIER,155 AVENUE PAUL VAILLANT COUTURIER - 75014 PARIS,"(48.8169809812593,2.33260968792188)",14126,http://velibs.github.io/data/png/41841.png
42933,17022 - PLACE DE WAGRAM,67 BOULEVARD PEREIRE - 75017 PARIS,"(48.8870706075812,2.30411112453146)",17022,http://velibs.github.io/data/png/42933.png
41882,19029 - SEINE FLANDRE,51 QUAI DE LA SEINE - 75019 PARIS,"(48.8867988117734,2.37471951679563)",19029,http://velibs.github.io/data/png/41882.png
41856,20043 - CHARONNE AVRON,48 BOULEVARD DE CHARONNE - 75011 PARIS,"(48.8516026652216,2.39840304703793)",20043,http://velibs.github.io/data/png/41856.png
41869,02016 - ABOUKIR,108 RUE D'ABOUKIR - 75002 PARIS,"(48.8686604815393,2.35018588824494)",2016,http://velibs.github.io/data/png/41869.png
41900,10031 - AQUEDUC,48 RUE LOUIS BLANC - 75010 PARIS,"(48.8819972099902,2.36362521455299)",10031,http://velibs.github.io/data/png/41900.png
41899,14117 - MOUCHOTTE,5 RUE DU COMMANDANT RENE MOUCHOTTE - 75014 PARIS,"(48.8393250250604,2.32095412572888)",14117,http://velibs.github.io/data/png/41899.png
41902,09010 - CADET,1/3 RUE DE ROCHECHOUART - 75009 PARIS,"(48.876719895109,2.34439302185395)",9010,http://velibs.github.io/data/png/41902.png
42062,12126 - AVENUE DE GRAVELLE,FACE 71 AVENUE DE GRAVELLE - 75012 PARIS,"(48.8244077675626,2.41845500423476)",12126,http://velibs.github.io/data/png/42062.png
42118,12042 - MONTEMPOIVRE,36-38 boulevard Soult - 75012 PARIS,"(48.8403981721562,2.40922942058058)",12042,http://velibs.github.io/data/png/42118.png
42134,08017 - ROCHER,14 RUE ROCHER - 75008 PARIS,"(48.876079329226,2.32273156204932)",8017,http://velibs.github.io/data/png/42134.png
41915,20013 - PLACE DE LA REUNION,106 RUE ALEXANDRE DUMAS - 75020 PARIS,"(48.8553551399868,2.39972858968972)",20013,http://velibs.github.io/data/png/41915.png
42685,18020 - RUISSEAU,31 RUE FRANCOEUR - 75018 PARIS,"(48.8910412326166,2.34001458544203)",18020,http://velibs.github.io/data/png/42685.png
42680,16008 - GALILEE KLEBER,1 RUE GALILEE - 75016 PARIS,"(48.8674118657137,2.29078138011482)",16008,http://velibs.github.io/data/png/42680.png
43078,16041 - VERSAILLES,164 AVENUE DE VERSAILLES - 75016 PARIS,"(48.8402193380741,2.26383419115296)",16041,http://velibs.github.io/data/png/43078.png
41876,20117 - SAINT FARGEAU MORTIER,72 RUE SAINT-FARGEAU - 75020 PARIS,"(48.8727472690362,2.40820345430209)",20117,http://velibs.github.io/data/png/41876.png
41878,35009 - LOLIVE 1 (PANTIN),104 AVENUE LOLIVE - 93500 PANTIN,"(48.8921394093072,2.40910773770119)",35009,http://velibs.github.io/data/png/41878.png
41872,18006 - MARCHE ST-PIERRE,PLACE SAINT PIERRE - 75018 PARIS,"(48.8846916064055,2.34413928594718)",18006,http://velibs.github.io/data/png/41872.png
41887,02010 - BOULEVARD MONTMARTRE,21 RUE D'UZES - 75002 PARIS,"(48.8707757572723,2.34316333438536)",2010,http://velibs.github.io/data/png/41887.png
42756,21705 - HUGO (VANVES),11 AVENUE VICTOR HUGO - 92170 VANVES,"(48.823599644257,2.28881972951317)",21705,http://velibs.github.io/data/png/42756.png
41954,08102 - LAMENAIS WASHINGTON,1 RUE LAMENNAIS - 75008 PARIS,"(48.8735553344888,2.30328866612515)",8102,http://velibs.github.io/data/png/41954.png
